source_company,destination_company,relationship_type,route_mode,transit_days_min,transit_days_max,commodity,risk_level,publicly_known
ON Semiconductor,General Motors,tier1_supplier,road,3,7,Image sensors,high,yes
AMD,Amazon.com Inc,tier1_supplier,road,2,5,EPYC server CPUs,high,yes
AMD,Microsoft Corporation,tier1_supplier,road,2,5,EPYC CPUs Xbox chips,high,yes
AMD,Tesla Inc,tier1_supplier,road,2,5,Infotainment APU,medium,yes
Marvell Technology,Amazon.com Inc,tier1_supplier,road,2,5,Custom data centre chips,high,yes
Marvell Technology,Microsoft Corporation,tier1_supplier,road,2,5,Data centre ASICs,high,yes
ZF Friedrichshafen,Volkswagen AG,tier1_supplier,road,1,3,Transmission driveline,critical,yes
ZF Friedrichshafen,BMW Group,tier1_supplier,road,1,3,Automatic gearboxes,high,yes
ZF Friedrichshafen,General Motors,tier1_supplier,road,2,5,Transmissions,high,yes
ZF Friedrichshafen,Hyundai Motor,tier1_supplier,sea,8,15,Automatic transmissions,high,yes
Schaeffler AG,Volkswagen AG,tier1_supplier,road,1,3,Bearings clutch,high,yes
Schaeffler AG,BMW Group,tier1_supplier,road,1,3,Precision bearings,high,yes
Faurecia,Volkswagen AG,tier1_supplier,road,2,5,Seating exhaust systems,high,yes
Faurecia,Ford Motor Company,tier1_supplier,road,2,5,Seating modules,high,yes
Plastic Omnium,BMW Group,tier1_supplier,road,2,5,Bumpers plastic body,medium,yes
Plastic Omnium,Volkswagen AG,tier1_supplier,road,2,5,Body plastic parts,medium,yes
Pirelli & C.,BMW Group,tier1_supplier,road,2,5,OEM performance tyres,high,yes
HELLA GmbH,Volkswagen AG,tier1_supplier,road,1,3,Automotive lighting,high,yes
HELLA GmbH,Ford Motor Company,tier1_supplier,road,2,5,Lighting electronics,medium,yes
Nidec Corporation,Tesla Inc,tier1_supplier,sea,12,20,EV traction motors,critical,yes
Nidec Corporation,Volkswagen AG,tier1_supplier,sea,15,22,EV motors,high,yes
Nidec Corporation,Hyundai Motor,tier1_supplier,sea,8,15,EV drive motors,high,yes
Nidec Corporation,General Motors,tier1_supplier,sea,12,20,EV traction motors,high,yes
Knorr-Bremse,Daimler Truck Holding,tier1_supplier,road,1,3,Air brakes commercial,critical,yes
Wabco Holdings,Daimler Truck Holding,tier1_supplier,road,2,5,Trailer ABS EBS,high,yes
Wabco Holdings,Volvo AB,tier1_supplier,road,2,5,Braking systems trucks,high,yes
Fanuc Corporation,Toyota Motor Corporation,tier1_supplier,road,1,2,Welding robots,high,yes
Fanuc Corporation,Volkswagen AG,tier1_supplier,sea,15,22,Factory robots,high,yes
Yaskawa Electric,Toyota Motor Corporation,tier1_supplier,road,1,2,Industrial robots,high,yes
Komatsu Ltd,BHP Group,tier1_supplier,sea,18,25,Mining autonomous trucks,high,yes
Komatsu Ltd,Vale SA,tier1_supplier,sea,20,28,Mining equipment,high,yes
Metso Outotec,Vale SA,tier1_supplier,sea,20,28,Mineral processing equipment,high,yes
Metso Outotec,BHP Group,tier1_supplier,sea,18,25,Mining processing plant,high,yes
Atlas Copco,Taiwan Semiconductor,tier2_supplier,sea,20,28,Vacuum pumps compressors,high,yes
Atlas Copco,Samsung Electronics,tier2_supplier,sea,15,22,Fab compressors,medium,yes
SKF AB,Volkswagen AG,tier1_supplier,road,1,3,Wheel bearings,high,yes
SKF AB,Airbus SE,tier1_supplier,road,3,7,Aerospace bearings,medium,yes
Alfa Laval,Maersk Group,tier1_supplier,sea,10,20,Marine heat exchangers,high,yes
Wartsila,Maersk Group,tier1_supplier,sea,15,25,Marine engines,critical,yes
Vestas Wind Systems,Orsted AS,tier1_supplier,sea,10,20,Wind turbine supply,critical,yes
Siemens AG,Orsted AS,tier1_supplier,sea,10,20,Offshore wind turbines,high,yes
Neste Corporation,Airbus SE,raw_material,sea,10,20,Sustainable aviation fuel,high,yes
SSAB AB,Volvo AB,tier1_supplier,road,1,3,Green fossil-free steel,high,yes
LG Chem,LG Energy Solution,tier1_supplier,road,1,2,Cathode materials,critical,yes
LG Chem,Samsung SDI,tier1_supplier,road,1,2,Battery materials,high,yes
Lonza Group,Pfizer Inc,tier1_supplier,road,3,7,Biologics CDMO manufacturing,critical,yes
Lonza Group,Novartis AG,tier1_supplier,road,3,7,CDMO drug manufacturing,high,yes
Lonza Group,AstraZeneca PLC,tier1_supplier,sea,10,18,CDMO manufacturing,high,yes
Dassault Systemes,Airbus SE,services_partner,digital,0,0,3DEXPERIENCE PLM,critical,yes
Dassault Systemes,Boeing Company,services_partner,digital,0,0,PLM design software,high,yes
Dassault Systemes,BMW Group,services_partner,digital,0,0,Virtual car design,high,yes
Dassault Systemes,Toyota Motor Corporation,services_partner,digital,0,0,PLM simulation,medium,yes
IBM Corporation,Boeing Company,services_partner,digital,0,0,IT mainframe services,medium,yes
IBM Corporation,Walmart Inc,services_partner,digital,0,0,Blockchain supply chain,medium,yes
Oracle Corporation,Boeing Company,services_partner,digital,0,0,ERP HR systems,medium,yes
Oracle Corporation,Toyota Motor Corporation,services_partner,digital,0,0,Cloud ERP,medium,yes
Nokia Corporation,Reliance Industries,tier1_supplier,sea,15,25,5G AirScale gear,high,yes
Schaeffler AG,Airbus SE,tier2_supplier,road,3,7,Precision bearings aerospace,medium,yes
Infosys Limited,Volkswagen AG,services_partner,digital,0,0,IT services ERP,medium,yes
Wipro Limited,Airbus SE,services_partner,digital,0,0,Engineering IT services,medium,yes
HCL Technologies,Boeing Company,services_partner,digital,0,0,IT engineering services,medium,yes
HCL Technologies,Apple Inc,services_partner,digital,0,0,IT infrastructure,low,yes
Tata Consultancy Services,Airbus SE,services_partner,digital,0,0,IT digital services,medium,yes
Thermo Fisher Scientific,Roche Holding,tier1_supplier,sea,10,18,Lab instruments,high,yes
Thermo Fisher Scientific,Novartis AG,tier1_supplier,sea,10,18,Research instruments,high,yes
Cisco Systems,Amazon.com Inc,tier1_supplier,road,2,5,Network infrastructure AWS,high,yes
Cisco Systems,Microsoft Corporation,tier1_supplier,road,2,5,Network equipment Azure,high,yes
Cisco Systems,Boeing Company,tier2_supplier,road,2,5,Network comms,medium,yes
Schlumberger NV,BP PLC,services_supplier,road,1,5,Oilfield services,high,yes
Schlumberger NV,Equinor ASA,services_supplier,sea,5,10,Oilfield drilling services,high,yes
Halliburton Company,Saudi Aramco,services_supplier,sea,5,10,Oilfield services,high,yes
Halliburton Company,BP PLC,services_supplier,road,2,5,Oilfield services,medium,yes
Komatsu Ltd,Newmont Corporation,tier1_supplier,sea,20,28,Mining trucks equipment,high,yes
Sandvik AB,Fortescue Metals,tier1_supplier,sea,18,25,Rock drilling tools,high,yes
Petronas,Shell PLC,raw_material,sea,8,15,LNG crude oil,high,yes
Charoen Pokphand,Nestlé SA,tier1_supplier,sea,12,20,Poultry shrimp food supply,medium,yes
Thai Union Group,Nestlé SA,tier2_supplier,sea,15,25,Seafood ingredients,medium,yes
Olam International,Nestlé SA,raw_material,sea,15,25,Coffee cocoa beans,high,yes
Olam International,Unilever PLC,raw_material,sea,15,25,Edible oils agri,high,yes
Wilmar International,Procter & Gamble Co,raw_material,sea,15,25,Palm oil chemicals,medium,yes
Hartalega,Johnson & Johnson,tier1_supplier,sea,15,25,Nitrile medical gloves,high,yes
Top Glove,Pfizer Inc,tier1_supplier,sea,15,25,Medical gloves,medium,yes
SembCorp Industries,Maersk Group,tier1_supplier,sea,5,15,Ship repair port services,medium,yes
Adani Group,Maersk Group,services_partner,road,1,5,Mundra port logistics India,high,yes
Korea Zinc,Samsung SDI,tier1_supplier,road,1,2,Zinc for battery packaging,medium,yes
Zijin Mining,CATL,raw_material,sea,5,10,Copper gold mining China,high,yes
Freeport-McMoRan,Dow Inc,raw_material,sea,15,25,Copper for chemicals,medium,yes
Anglo American,BMW Group,raw_material,sea,20,30,Platinum for fuel cells,medium,yes
Anglo American,Toyota Motor Corporation,raw_material,sea,20,30,Palladium catalysts,medium,yes
Maersk Group,Procter & Gamble Co,logistics_partner,sea,0,0,FMCG shipping,high,yes
UPS Inc,Amazon.com Inc,logistics_partner,road,1,3,Parcel delivery,high,yes
UPS Inc,Apple Inc,logistics_partner,air,1,2,Device express delivery,medium,yes
FedEx Corporation,Walmart Inc,logistics_partner,road,1,3,Retail logistics,high,yes
Linde PLC,BASF SE,tier1_supplier,pipeline,1,3,Industrial gases chemicals,high,yes
Air Liquide,BASF SE,tier1_supplier,pipeline,1,3,Industrial gases,high,yes
DuPont de Nemours,Taiwan Semiconductor,tier1_supplier,sea,18,25,Photoresists chemicals,critical,yes
DuPont de Nemours,Samsung Electronics,tier1_supplier,sea,15,22,Semiconductor chemicals,high,yes
Dow Inc,Procter & Gamble Co,tier1_supplier,road,2,5,Specialty chemicals surfactants,medium,yes
Dow Inc,Unilever PLC,tier1_supplier,sea,12,18,Chemicals FMCG,medium,yes
Linde PLC,Taiwan Semiconductor,tier1_supplier,road,1,5,Ultra-pure fab gases,critical,yes
Air Products,Taiwan Semiconductor,tier1_supplier,road,1,5,Specialty gases,high,yes
Itochu Corporation,BHP Group,raw_material,sea,18,25,Coal iron ore trading,high,yes
Itochu Corporation,CATL,raw_material,sea,10,18,Battery materials trading,medium,yes
Marubeni Corporation,Vale SA,raw_material,sea,20,28,Iron ore trading,high,yes
Geely Automobile,CATL,tier1_supplier,road,1,3,EV battery supply China,critical,yes
Vinfast,LG Energy Solution,tier1_supplier,sea,15,22,EV battery packs,high,yes
Vinfast,CATL,tier1_supplier,sea,15,22,EV battery alternative,medium,yes
DBS Group,Wilmar International,services_partner,digital,0,0,Trade finance Singapore,high,yes
HDFC Bank,Tata Consultancy Services,services_partner,digital,0,0,Banking IT services,medium,yes
JPMorgan Chase & Co,Boeing Company,services_partner,digital,0,0,Supply chain finance,medium,yes
SMC Corporation,Taiwan Semiconductor,tier1_supplier,sea,8,15,Pneumatic automation fab,high,yes
SMC Corporation,Samsung Electronics,tier1_supplier,sea,8,15,Pneumatics clean room,high,yes
Daikin Industries,Amazon.com Inc,tier2_supplier,sea,15,22,DC cooling HVAC,medium,yes
Daikin Industries,Microsoft Corporation,tier2_supplier,sea,15,22,Data centre HVAC,medium,yes
Flex Ltd,Microsoft Corporation,tier1_supplier,sea,15,25,Xbox assembly,high,yes
Flex Ltd,Amazon.com Inc,tier1_supplier,sea,18,25,Kindle Echo assembly,medium,yes
Jabil Inc,Apple Inc,tier2_supplier,sea,18,25,iPhone enclosures,medium,yes
Jabil Inc,Johnson & Johnson,tier1_supplier,road,3,7,Medical device assembly,medium,yes
Aptiv PLC,General Motors,tier1_supplier,road,2,5,Wiring harness electrical,critical,yes
Aptiv PLC,Volkswagen AG,tier1_supplier,road,3,7,Wiring systems,high,yes
TE Connectivity,Boeing Company,tier1_supplier,road,2,5,Connectors sensors,high,yes
TE Connectivity,Toyota Motor Corporation,tier1_supplier,sea,10,18,Automotive connectors,high,yes
TE Connectivity,Airbus SE,tier1_supplier,sea,10,18,Connectors sensors aerospace,high,yes
Magna International,General Motors,tier1_supplier,road,2,5,Body stampings seating,high,yes
Magna International,BMW Group,tier1_supplier,sea,12,18,Exterior modules,high,yes
SABIC,BASF SE,tier1_supplier,sea,20,28,Specialty chemicals,high,yes
Fortescue Metals,POSCO Holdings,tier1_supplier,sea,10,15,Iron ore,high,yes
Fortescue Metals,Thyssenkrupp AG,tier1_supplier,sea,18,25,Iron ore,high,yes
EMS-Chemie,BMW Group,tier1_supplier,road,2,5,Specialty polymers lightweighting,high,yes
EMS-Chemie,Airbus SE,tier1_supplier,sea,10,18,High-performance polymers,high,yes
Grab Holdings,DBS Group,services_partner,digital,0,0,Banking fintech,medium,yes
CIMB Group,Grab Holdings,services_partner,digital,0,0,Banking fintech Malaysia,medium,yes
Holcim Group,Vinci SA,tier1_supplier,road,1,3,Cement concrete,high,yes
PTT Global Chemical,CATL,raw_material,sea,12,18,Polymer battery casing,medium,yes
Sanofi SA,Lonza Group,tier2_supplier,road,3,7,API manufacturing CDMO,high,yes
Wanhua Chemical,BASF SE,raw_material,sea,12,18,MDI polyurethane chemicals,medium,yes
Mahindra & Mahindra,Robert Bosch GmbH,tier1_supplier,sea,12,18,Auto electronics ADAS,high,yes
JSW Steel,Tata Motors,tier1_supplier,road,2,4,Automotive steel,high,yes
Equinor ASA,TotalEnergies SE,raw_material,pipeline,1,5,North Sea oil gas,high,yes
Equinor ASA,Shell PLC,raw_material,pipeline,1,3,North Sea crude gas,high,yes
Woodside Energy,Sinopec,raw_material,sea,12,18,LNG supply China,high,yes
Sony Group Corporation,Apple Inc,tier2_supplier,sea,8,15,Image sensors cameras,high,yes
Murata Manufacturing,Samsung Electronics,tier1_supplier,sea,5,8,MLCC components,high,yes
TDK Corporation,Samsung Electronics,tier1_supplier,sea,5,8,Electronic components,medium,yes
Kyocera Corporation,Samsung Electronics,tier1_supplier,sea,5,10,Ceramic substrates,medium,yes
Delta Electronics,Samsung Electronics,tier2_supplier,sea,8,15,Server power,medium,yes
Applied Materials,Taiwan Semiconductor,tier1_supplier,sea,20,30,CVD PVD tools,high,yes
Applied Materials,Samsung Electronics,tier1_supplier,sea,18,28,Etch tools,high,yes
Applied Materials,Intel Corporation,tier1_supplier,road,5,10,CVD PVD tools,high,yes
Lam Research,Taiwan Semiconductor,tier1_supplier,sea,20,30,Etch equipment,high,yes
Lam Research,Intel Corporation,tier1_supplier,road,5,10,Etch equipment,high,yes
KLA Corporation,Taiwan Semiconductor,tier1_supplier,sea,20,30,Inspection tools,high,yes
KLA Corporation,Samsung Electronics,tier1_supplier,sea,18,28,Inspection tools,high,yes
Texas Instruments,General Motors,tier1_supplier,road,2,5,Automotive chips,high,yes
Texas Instruments,Ford Motor Company,tier1_supplier,road,2,5,Automotive chips,high,yes
Micron Technology,Microsoft Corporation,tier1_supplier,road,2,5,Server DRAM,high,yes
Broadcom Inc,Samsung Electronics,tier1_supplier,sea,12,18,Networking chips,medium,yes
ASE Technology,Broadcom Inc,tier1_supplier,road,1,3,Advanced packaging,high,yes
ASE Technology,Qualcomm Inc,tier1_supplier,road,1,3,Chip packaging testing,high,yes
Pegatron Corporation,Apple Inc,tier1_supplier,air,2,5,iPhone assembly backup,critical,yes
Mitsui & Co,BHP Group,raw_material,sea,8,12,LNG iron ore offtake,high,yes
Parker Hannifin,Boeing Company,tier1_supplier,road,2,5,Hydraulic fuel systems,high,yes
Parker Hannifin,Airbus SE,tier1_supplier,sea,10,18,Hydraulic systems,high,yes
Raytheon Technologies,Boeing Company,tier1_supplier,road,2,5,Pratt Whitney engines,high,yes
Lockheed Martin,Honeywell International,tier1_supplier,road,2,5,Avionics F-35,high,yes
Northrop Grumman,Raytheon Technologies,tier2_supplier,road,3,7,Defense electronics,medium,yes
Baxter International,Johnson & Johnson,tier2_supplier,road,2,5,IV fluids medical,medium,yes
Air Products,Intel Corporation,tier1_supplier,road,1,3,Fab gases,high,yes
Air Products,Samsung Electronics,tier1_supplier,sea,5,10,Ultra pure gases,high,yes
Target Corporation,Procter & Gamble Co,tier1_supplier,road,2,5,Consumer goods,high,yes
Freeport-McMoRan,Samsung Electronics,raw_material,sea,12,18,Copper,medium,yes
Freeport-McMoRan,POSCO Holdings,tier1_supplier,sea,12,18,Copper,medium,yes
Dow Inc,Procter & Gamble Co,tier1_supplier,road,2,5,Specialty chemicals,medium,yes
Dow Inc,Unilever PLC,tier1_supplier,sea,12,18,Chemicals FMCG,medium,yes
DuPont de Nemours,Taiwan Semiconductor,tier1_supplier,sea,18,25,Photoresists,critical,yes
DuPont de Nemours,Samsung Electronics,tier1_supplier,sea,15,22,Semiconductor chemicals,high,yes
Aptiv PLC,BMW Group,tier1_supplier,road,2,5,Wiring harness,high,yes
Continental AG,Stellantis NV,tier1_supplier,road,2,5,Tires sensors,high,yes
Bridgestone Corporation,Volkswagen AG,tier1_supplier,road,2,5,OEM tyres,high,yes
Michelin Group,Toyota Motor Corporation,tier1_supplier,sea,10,15,OEM tyres,medium,yes
HELLA GmbH,BMW Group,tier1_supplier,road,1,3,Lighting ADAS systems,high,yes
Fanuc Corporation,Samsung Electronics,tier2_supplier,sea,5,10,Factory automation,medium,yes
Sumitomo Electric,Honda Motor Co,tier1_supplier,road,1,2,Wiring harness,high,yes
Denso Corporation,Honda Motor Co,tier1_supplier,road,1,2,Auto components HVAC,high,yes
Renesas Electronics,Ford Motor Company,tier1_supplier,sea,15,22,Automotive MCUs,high,yes
Infineon Technologies,Toyota Motor Corporation,tier1_supplier,sea,10,18,Power semiconductors,high,yes
STMicroelectronics,Volkswagen AG,tier1_supplier,road,3,7,SiC chips EV,high,yes
ON Semiconductor,Volkswagen AG,tier1_supplier,road,3,7,Power semiconductors,high,yes
NXP Semiconductors,Honda Motor Co,tier1_supplier,sea,10,18,Automotive chips,medium,yes
Murata Manufacturing,Apple Inc,tier1_supplier,sea,8,12,MLCC capacitors RF,high,yes
TDK Corporation,Apple Inc,tier1_supplier,sea,8,12,Passive components,medium,yes
TDK Corporation,Samsung Electronics,tier1_supplier,sea,5,8,Electronic components,medium,yes
Kyocera Corporation,Toyota Motor Corporation,tier1_supplier,road,1,3,Automotive ceramics,medium,yes
Kyocera Corporation,Samsung Electronics,tier1_supplier,sea,5,10,Ceramic substrates,medium,yes
SMC Corporation,Applied Materials,tier2_supplier,sea,15,22,Pneumatics semiconductor,medium,yes
Panasonic Holdings,Toyota Motor Corporation,tier1_supplier,road,1,3,Battery cells hybrid,high,yes
Mahindra & Mahindra,Robert Bosch GmbH,tier1_supplier,sea,12,18,Auto electronics ADAS,high,yes
JSW Steel,Tata Motors,tier1_supplier,road,2,4,Automotive steel,high,yes
Equinor ASA,TotalEnergies SE,raw_material,pipeline,1,5,North Sea oil gas,high,yes
Woodside Energy,Sinopec,raw_material,sea,12,18,LNG supply China,high,yes
Adani Group,Maersk Group,services_partner,road,1,5,Mundra port logistics India,high,yes
Dassault Systemes,SAP SE,services_partner,digital,0,0,PLM ERP integration,medium,yes
Nokia Corporation,Ericsson,competitor_benchmarked,,,,5G equipment benchmark,low,no
Maersk Group,Grab Holdings,logistics_partner,sea,0,0,Container SEA logistics,medium,yes
FedEx Corporation,Sea Limited,logistics_partner,sea,0,0,E-commerce last mile,medium,yes
UPS Inc,Amazon.com Inc,logistics_partner,road,1,3,Parcel delivery,high,yes
Wanhua Chemical,BASF SE,raw_material,sea,12,18,MDI polyurethane chemicals,medium,yes
Sanofi SA,Lonza Group,tier2_supplier,road,3,7,API manufacturing CDMO,high,yes
PTT Global Chemical,CATL,raw_material,sea,12,18,Polymer battery casing,medium,yes
Korea Zinc,Samsung SDI,tier1_supplier,road,1,2,Zinc battery packaging,medium,yes
Zijin Mining,CATL,raw_material,sea,5,10,Copper gold mining China,high,yes
Geely Automobile,CATL,tier1_supplier,road,1,3,EV battery supply China,critical,yes
Vinfast,LG Energy Solution,tier1_supplier,sea,15,22,EV battery packs,high,yes
Sony Group Corporation,Apple Inc,tier2_supplier,sea,8,15,Image sensors cameras,high,yes
Petronas,Shell PLC,raw_material,sea,8,15,LNG crude oil,high,yes
Charoen Pokphand,Nestlé SA,tier1_supplier,sea,12,20,Poultry food supply,medium,yes
Olam International,Nestlé SA,raw_material,sea,15,25,Coffee cocoa beans,high,yes
Hartalega,Johnson & Johnson,tier1_supplier,sea,15,25,Nitrile medical gloves,high,yes
Holcim Group,Vinci SA,tier1_supplier,road,1,3,Cement concrete,high,yes
LG Chem,LG Energy Solution,tier1_supplier,road,1,2,Cathode materials,critical,yes
LG Chem,Samsung SDI,tier1_supplier,road,1,2,Battery cathode materials,high,yes
Lonza Group,Pfizer Inc,tier1_supplier,road,3,7,Biologics CDMO,critical,yes
Lonza Group,AstraZeneca PLC,tier1_supplier,sea,10,18,CDMO manufacturing,high,yes
Dassault Systemes,Airbus SE,services_partner,digital,0,0,3DEXPERIENCE PLM,critical,yes
Dassault Systemes,Boeing Company,services_partner,digital,0,0,PLM design software,high,yes
IBM Corporation,Boeing Company,services_partner,digital,0,0,IT mainframe services,medium,yes
Oracle Corporation,Boeing Company,services_partner,digital,0,0,ERP HR systems,medium,yes
Oracle Corporation,Toyota Motor Corporation,services_partner,digital,0,0,Cloud ERP,medium,yes
Linde PLC,BASF SE,tier1_supplier,pipeline,1,3,Industrial gases chemicals,high,yes
Air Liquide,BASF SE,tier1_supplier,pipeline,1,3,Industrial gases,high,yes
Linde PLC,Taiwan Semiconductor,tier1_supplier,road,1,5,Ultra-pure fab gases,critical,yes
Itochu Corporation,BHP Group,raw_material,sea,18,25,Coal iron ore trading,high,yes
Itochu Corporation,CATL,raw_material,sea,10,18,Battery materials trading,medium,yes
Marubeni Corporation,Vale SA,raw_material,sea,20,28,Iron ore trading,high,yes
SABIC,BASF SE,tier1_supplier,sea,20,28,Specialty chemicals,high,yes
SABIC,TotalEnergies SE,raw_material,sea,15,22,Petrochemical feedstock,medium,yes
EMS-Chemie,BMW Group,tier1_supplier,road,2,5,Specialty polymers,high,yes
EMS-Chemie,Airbus SE,tier1_supplier,sea,10,18,High-performance polymers,high,yes
Fortescue Metals,POSCO Holdings,tier1_supplier,sea,10,15,Iron ore,high,yes
Fortescue Metals,Thyssenkrupp AG,tier1_supplier,sea,18,25,Iron ore,high,yes
Metso Outotec,Vale SA,tier1_supplier,sea,20,28,Mining equipment,high,yes
Metso Outotec,BHP Group,tier1_supplier,sea,18,25,Mining processing plant,high,yes
Anglo American,BMW Group,raw_material,sea,20,30,Platinum fuel cells,medium,yes
Anglo American,Toyota Motor Corporation,raw_material,sea,20,30,Palladium catalysts,medium,yes
Sandvik AB,Fortescue Metals,tier1_supplier,sea,18,25,Rock drilling tools,high,yes
Nidec Corporation,Tesla Inc,tier1_supplier,sea,12,20,EV traction motors,critical,yes
Nidec Corporation,Hyundai Motor,tier1_supplier,sea,8,15,EV drive motors,high,yes
Wartsila,Maersk Group,tier1_supplier,sea,15,25,Marine engines,critical,yes
Alfa Laval,Maersk Group,tier1_supplier,sea,10,20,Marine heat exchangers,high,yes
Vestas Wind Systems,Orsted AS,tier1_supplier,sea,10,20,Wind turbine supply,critical,yes
Siemens AG,Orsted AS,tier1_supplier,sea,10,20,Offshore wind turbines,high,yes
Neste Corporation,Airbus SE,raw_material,sea,10,20,Sustainable aviation fuel,high,yes
SSAB AB,Volvo AB,tier1_supplier,road,1,3,Green fossil-free steel,high,yes
Knorr-Bremse,Daimler Truck Holding,tier1_supplier,road,1,3,Air brakes commercial,critical,yes
Wabco Holdings,Volvo AB,tier1_supplier,road,2,5,Braking systems trucks,high,yes
Fanuc Corporation,Volkswagen AG,tier1_supplier,sea,15,22,Factory robots,high,yes
Yaskawa Electric,Toyota Motor Corporation,tier1_supplier,road,1,2,Industrial robots,high,yes
Komatsu Ltd,BHP Group,tier1_supplier,sea,18,25,Mining trucks,high,yes
Komatsu Ltd,Vale SA,tier1_supplier,sea,20,28,Mining equipment,high,yes
Atlas Copco,Taiwan Semiconductor,tier2_supplier,sea,20,28,Vacuum pumps,high,yes
SKF AB,Volkswagen AG,tier1_supplier,road,1,3,Wheel bearings,high,yes
HCL Technologies,Boeing Company,services_partner,digital,0,0,IT engineering services,medium,yes
Tata Consultancy Services,Airbus SE,services_partner,digital,0,0,IT digital services,medium,yes
Wipro Limited,Airbus SE,services_partner,digital,0,0,Engineering IT services,medium,yes
Thermo Fisher Scientific,Roche Holding,tier1_supplier,sea,10,18,Lab instruments,high,yes
Cisco Systems,Amazon.com Inc,tier1_supplier,road,2,5,Network infrastructure AWS,high,yes
Cisco Systems,Microsoft Corporation,tier1_supplier,road,2,5,Network equipment Azure,high,yes
Schlumberger NV,BP PLC,services_supplier,road,1,5,Oilfield services,high,yes
Halliburton Company,Saudi Aramco,services_supplier,sea,5,10,Oilfield services,high,yes
DBS Group,Wilmar International,services_partner,digital,0,0,Trade finance Singapore,high,yes
HDFC Bank,Tata Consultancy Services,services_partner,digital,0,0,Banking IT services,medium,yes
JPMorgan Chase & Co,Boeing Company,services_partner,digital,0,0,Supply chain finance,medium,yes
Flex Ltd,Microsoft Corporation,tier1_supplier,sea,15,25,Xbox assembly,high,yes
Jabil Inc,Apple Inc,tier2_supplier,sea,18,25,iPhone enclosures,medium,yes
Magna International,General Motors,tier1_supplier,road,2,5,Body stampings seating,high,yes
Magna International,BMW Group,tier1_supplier,sea,12,18,Exterior modules,high,yes
TE Connectivity,Boeing Company,tier1_supplier,road,2,5,Connectors sensors,high,yes
TE Connectivity,Toyota Motor Corporation,tier1_supplier,sea,10,18,Automotive connectors,high,yes
Valeo SA,Stellantis NV,tier1_supplier,road,2,5,ADAS lighting,high,yes
Daikin Industries,Amazon.com Inc,tier2_supplier,sea,15,22,DC cooling HVAC,medium,yes
SMC Corporation,Taiwan Semiconductor,tier1_supplier,sea,8,15,Pneumatic automation fab,high,yes
ZF Friedrichshafen,Volkswagen AG,tier1_supplier,road,1,3,Transmission driveline,critical,yes
ZF Friedrichshafen,BMW Group,tier1_supplier,road,1,3,Automatic gearboxes,high,yes
ZF Friedrichshafen,General Motors,tier1_supplier,road,2,5,Transmissions,high,yes
Schaeffler AG,Volkswagen AG,tier1_supplier,road,1,3,Bearings clutch,high,yes
Faurecia,Volkswagen AG,tier1_supplier,road,2,5,Seating exhaust systems,high,yes
Plastic Omnium,BMW Group,tier1_supplier,road,2,5,Bumpers plastic body,medium,yes
Pirelli & C.,BMW Group,tier1_supplier,road,2,5,OEM performance tyres,high,yes
